"","id","prize","year","name","gender","yob","yod","univ","city","country","Flagged"
"1","11953504","1","1953","Pyotr L Kapitsa","M","1894","1984",NA,"Moscow","RUSSIAN FEDERATION (RU) ","FLAG"
"2","11954534","1","1954","James G Baker","M","1914","2005","Harvard University","Lexington","UNITED STATES (US) ","FLAG"
"3","11954535","1","1954","Edwin  Land","M","1909","1991",NA,"Cambridge","UNITED STATES (US) ","FLAG"
"4","11954536","1","1954","Edward H Linfoot","M","1905","1982",NA,"Cambridge","UNITED STATES (US) ","FLAG"
"5","11956694","1","1956","Maria  Goeppert-Mayer","F","1906","1972","Heidelberg University","Chicago","UNITED STATES (US) ","FLAG"
"6","11956704","1","1956","Johannes Hans Daniel  Jensen","M","1907","1973","Heidelberg University","Heidelberg","GERMANY (DE) ","FLAG"
"7","11956714","1","1956","Johannes Hans Daniel  Jensen","M","1907","1973","Heidelberg University","Heidelberg","GERMANY (DE) ","FLAG"
"8","11956724","1","1956","Julian  Schwinger","M","1918","1994",NA,"Cambridge","UNITED STATES (US) ","FLAG"
"9","11957644","1","1957","Maria  Goeppert-Mayer","F","1906","1972",NA,NA,"UNITED STATES (US) ","FLAG"
"10","11957654","1","1957","Clyde L Cowan, Jr","M","1919","1974",NA,"Los Alamos","UNITED STATES (US) ","FLAG"
"11","11957655","1","1957","Frederick  Reines","M","1918","1998",NA,"Los Alamos","UNITED STATES (US) ","FLAG"
"12","11957656","1","1957","Emilio  Segrè","M","1905","1989",NA,"Berkeley","UNITED STATES (US) ","FLAG"
"13","11958484","1","1958","Thomas  Ypsilantis","M","1928","2000",NA,"Berkeley","UNITED STATES (US) ","FLAG"
"14","11958494","1","1958","Samuel Abraham  Goudsmit","M","1902","1978",NA,"Brookhaven","UNITED STATES (US) ","FLAG"
"15","11958495","1","1958","George Eugene  Uhlenbeck","M","1900","1988",NA,"Ann Arbor","UNITED STATES (US) ","FLAG"
"16","11958504","1","1958","Abdus  Salam","M","1926","1996",NA,"London","UNITED KINGDOM (GB) ","FLAG"
"17","11959614","1","1959","Cornelis Jacobus   Gorter","M","1907","1980",NA,"Leiden ","GERMANY (DE) ","FLAG"
"18","11959624","1","1959","Emilio  Segrè","M","1905",NA,"University of California","Berkeley","UNITED STATES (US) ","FLAG"
"19","11959625","1","1959","Owen  Chamberlain","M","1920","2006","University of California","Berkeley","UNITED STATES (US) ","FLAG"
"20","11959626","1","1959","Charles Hard  Townes","M","1915",NA,"Columbia University","New York","UNITED STATES (US) ","FLAG"
"21","11960794","1","1960","Nicolaas  Bloembergen","M","1920",NA,NA,"Cambridge","UNITED STATES (US) ","FLAG"
"22","11960795","1","1960","Louis  Néel","M","1904","2000",NA,"Grenoble","FRANCE (FR) ","FLAG"
"23","11960804","1","1960","Martin  Deutsch","M","1917","2002","Massachusetts Institute of Technology (MIT)","Cambridge","UNITED STATES (US) ","FLAG"
"24","11960805","1","1960","Maurice  Goldhaber","M","1911","2011",NA,"Brookhaven","UNITED STATES (US) ","FLAG"
"25","11960806","1","1960","Chieng-Shiung  Wu","F","1912","1997","Massachusetts Institute of Technology (MIT)","New York","UNITED STATES (US) ","FLAG"
"26","11960807","1","1960","Bruno  Rossi","M","1905","1993",NA,"Cambridge","UNITED STATES (US) ","FLAG"
"27","11960808","1","1960","James A Van Allen","M","1914","2006","Massachusetts Institute of Technology (MIT)","Iowa City","UNITED STATES (US) ","FLAG"
"28","11961474","1","1961","Rudolf Ludwig   Mössbauer","M","1929","2011",NA,"Munich","GERMANY (DE) ","FLAG"
"29","11961514","1","1961","Murray  Gell-Mann","M","1929",NA,NA,"Chicago","UNITED STATES (US) ","FLAG"
"30","11961515","1","1961","Kazuhiko  Nishijima ","M","1926",NA,NA,"Princeton","UNITED STATES (US) ","FLAG"
"31","11961516","1","1961","Tadao  Nakano","M","1926",NA,NA,"Princeton","UNITED STATES (US) ","FLAG"
"32","11962794","1","1962","Nicolaas  Bloembergen","M","1920",NA,"Harvard University","Cambridge","UNITED STATES (US) ","FLAG"
"33","11962795","1","1962","Ali  Javan","M","1926","2001",NA,"Murray Hill","UNITED STATES (US) ","FLAG"
"34","11962796","1","1962","Nicolay Gennadijevitj  Basov","M","1922",NA,NA,"Moscow","RUSSIAN FEDERATION (RU) ","FLAG"
"35","11962797","1","1962","Aleksandr M Prokhorov [Prockorov]","M","1916",NA,NA,"Moscow","RUSSIAN FEDERATION (RU) ","FLAG"
"36","11963624","1","1963","Ali  Javan","M","1926","2001",NA,"Murray Hill","UNITED STATES (US) ","FLAG"
"37","11963625","1","1963","Nicolay Gennadijevitj  Basov","M","1922",NA,NA,"Moscow","RUSSIAN FEDERATION (RU) ","FLAG"
"38","11963626","1","1963","Aleksandr M Prokhorov [Prockorov]","M","1916",NA,NA,"Moscow","RUSSIAN FEDERATION (RU) ","FLAG"
"39","11963664","1","1963","Charles Hard  Townes","M","1915",NA,NA,"Cambridge","UNITED STATES (US) ","FLAG"
"40","11963665","1","1963","Nicolaas  Bloembergen","M","1920",NA,NA,"Cambridge","UNITED STATES (US) ","FLAG"
"41","11964894","1","1964","Fred  Hoyle","M","1915","2001",NA,"Cambridge","UNITED KINGDOM (GB) ","FLAG"
"42","11965884","1","1965","Murray  Gell-Mann","M","1929",NA,NA,"Pasadena","UNITED STATES (US) ","FLAG"
"43","119651114","1","1965","Lise  Meitner","F","1878","1968",NA,"Cambridge","UNITED KINGDOM (GB) ","FLAG"
"44","21955744","2","1955","Vincent  du Vigneaud","M","1901","1978","Cornell University Medical College","New York","UNITED STATES (US) ","FLAG"
"45","21957954","2","1957","Melvin  Calvin","M","1911","1997","University of California","Berkeley","UNITED STATES (US) ","FLAG"
