"","id","prize","year","name","gender","yob","yod","univ","city","country","Flagged"
"1","1190111","1","1901","Svante A Arrhenius","M","1859","1927","Stockholm University","Stockholm","SWEDEN (SE) ","CORRECT"
"2","1190121","1","1901","Svante A Arrhenius","M","1859","1927","Stockholm University","Stockholm","SWEDEN (SE) ","CORRECT"
"3","1190131","1","1901","Henri A Becquerel","M","1852","1908","École Polytechnique","Paris","FRANCE (FR) ","CORRECT"
"4","1190141","1","1901","William W Campbell","M","1862","1938",NA,NA,"UNITED STATES (US) ","CORRECT"
"5","1190151","1","1901","William W Campbell","M","1862","1938",NA,NA,"UNITED STATES (US) ","CORRECT"
"6","1190161","1","1901","Philipp Eduard Anton  von Lenard","M","1862","1947","Kiel University","Kiel","GERMANY (DE) ","CORRECT"
"7","1190171","1","1901","Philipp Eduard Anton  von Lenard","M","1862","1947","Kiel University","Kiel","GERMANY (DE) ","CORRECT"
"8","1190172","1","1901","Wilhelm C Röntgen","M","1845","1923","University of Munich","Munich","GERMANY (DE) ","CORRECT"
"9","1190181","1","1901","Philipp Eduard Anton  von Lenard","M","1862","1947","Kiel University","Kiel","GERMANY (DE) ","CORRECT"
"10","1190182","1","1901","Wilhelm C Röntgen","M","1845","1923","University of Munich","Munich","GERMANY (DE) ","CORRECT"
"11","1190191","1","1901","Philipp Eduard Anton  von Lenard","M","1862","1947","Kiel University","Kiel","GERMANY (DE) ","CORRECT"
"12","1190192","1","1901","Wilhelm C Röntgen","M","1845","1923","University of Munich","Munich","GERMANY (DE) ","CORRECT"
"13","11901101","1","1901","Philipp Eduard Anton  von Lenard","M","1862","1947","Kiel University","Kiel","GERMANY (DE) ","CORRECT"
"14","11901102","1","1901","Wilhelm C Röntgen","M","1845","1923","University of Munich","Munich","GERMANY (DE) ","CORRECT"
"15","11901111","1","1901","Philipp Eduard Anton  von Lenard","M","1862","1947","Kiel University","Kiel","GERMANY (DE) ","CORRECT"
"16","11901112","1","1901","Wilhelm C Röntgen","M","1845","1923","University of Munich","Munich","GERMANY (DE) ","CORRECT"
"17","11901121","1","1901","Gabriel  Lippmann","M","1845","1921","Sorbonne","Paris","FRANCE (FR) ","CORRECT"
"18","11901131","1","1901","Guglielmo  Marconi","M","1874","1937","Marconi Wireless Telegraph Co Ltd","London","UNITED KINGDOM (GB) ","CORRECT"
"19","11901141","1","1901","Adolf E Nordenskiöld","M","1832",NA,NA,NA,"SWEDEN (SE) ","CORRECT"
"20","11901151","1","1901","Wilhelm C Röntgen","M","1845","1923","University of Munich","Munich","GERMANY (DE) ","CORRECT"
"21","11901161","1","1901","Wilhelm C Röntgen","M","1845","1923","University of Munich","Munich","GERMANY (DE) ","CORRECT"
"22","11901171","1","1901","Wilhelm C Röntgen","M","1845","1923","University of Munich","Munich","GERMANY (DE) ","CORRECT"
"23","11901181","1","1901","Wilhelm C Röntgen","M","1845","1923","University of Munich","Munich","GERMANY (DE) ","CORRECT"
"24","11901191","1","1901","Wilhelm C Röntgen","M","1845","1923","University of Munich","Munich","GERMANY (DE) ","CORRECT"
"25","11901201","1","1901","Wilhelm C Röntgen","M","1845","1923","University of Munich","Munich","GERMANY (DE) ","CORRECT"
"26","11901211","1","1901","Wilhelm C Röntgen","M","1845","1923","University of Munich","Munich","GERMANY (DE) ","CORRECT"
"27","11901221","1","1901","Wilhelm C Röntgen","M","1845","1923","University of Munich","Munich","GERMANY (DE) ","CORRECT"
